"","Country","Year","gdp","fertilityrate","netmigration","unemployment","primaryeducation","mortalityratefemale","mortalityratemale","labourforce","grossfixedcapital","secondaryeducation"
"58","Iran, Islamic Rep.",1960,4199134389.9037,7.301,24066,NA,NA,392.8,379.547,NA,1264652299.20421,NA
"59","Iraq",1960,1684121534.58415,5.3,1573,NA,NA,230.339,361.743,NA,NA,NA
"60","Iceland",1960,248434096.968726,4.29,-248,NA,NA,105.187,153.436,NA,NA,NA
"61","Israel",1960,2598500000,3.866,39949,NA,NA,120,145.742639383977,NA,NA,NA
"62","Italy",1960,40385288344.1911,2.4,-145608,NA,NA,109.559,189.301,21484,NA,NA
"63","Jamaica",1960,699050678.98642,5.58,-29946,NA,NA,184.185,233.112,NA,NA,NA
"64","Japan",1960,44307342950.4,2.001,-46245,1.70000004768372,NA,148.963,217.175,45103.33,NA,NA
"65","Kenya",1960,791265458.818076,7.632,2140,NA,NA,332.747,391.69,NA,NA,NA
"66","Cambodia",1960,637142865.714286,6.251,-3332,NA,NA,428.253,498.628,NA,NA,NA
"67","St. Kitts and Nevis",1960,12366563.6119699,NA,-1812,NA,NA,NA,NA,NA,NA,NA
"68","Korea, Rep.",1960,3958824423.99818,5.949,23626,NA,NA,296.045,418.218,NA,445149925.227486,NA
"69","Latin America & Caribbean (excluding high income)",1960,68335857322.0053,5.95918574786412,-182983,NA,NA,257.612456091983,331.23479635462,NA,NA,NA
"70","Latin America & Caribbean",1960,84505799170.7128,5.86592436453546,-240354,NA,NA,253.045063684563,327.998712473008,NA,NA,NA
"71","Sri Lanka",1960,1409873949.57983,5.465,-12606,NA,NA,213.33,277.81,NA,213230395.378151,NA
"72","Lower middle income",1960,91051702922.4582,5.983877997132,-109859,NA,NA,353.817970529042,387.913203168225,NA,NA,NA
"73","Low & middle income",1960,340499267488.422,5.31241592318415,-562199,NA,NA,362.251885839468,443.093690345693,NA,101745326262.472,NA
"74","Lesotho",1960,34579308.4138317,5.819,2591,NA,NA,275.279,449.948,NA,NA,NA
"75","Late-demographic dividend",1960,192006552640.068,4.39482921019149,-343056,NA,NA,362.926408717298,488.653919318942,NA,58086480817.6303,NA
"76","Luxembourg",1960,703925705.942958,2.29,29,NA,NA,117.356,210.587,NA,NA,NA
"77","Morocco",1960,2037150716.33238,7.04,-19418,NA,NA,447.875,491.81,NA,199877917.201858,NA
"78","Madagascar",1960,673081724.083139,7.3,0,NA,NA,435.428,476.828,NA,NA,NA
"79","Mexico",1960,1.304e+10,6.763,-90381,NA,NA,266.011,348.025,NA,2186512000,NA
"80","Middle income",1960,327378582973.522,5.23058875282685,-438485,NA,NA,359.572835545313,441.657015938729,NA,100636291035.205,NA
"81","Malawi",1960,162956740.865183,7.029,0,NA,NA,387.175,454.167,NA,NA,NA
"82","Malaysia",1960,1916241996.60264,6.407,-10446,NA,NA,317.602,374.144,NA,212988370.573631,NA
"83","North America",1960,583846188346.724,3.66829097731394,627919,NA,NA,128.810937022839,229.660559574984,NA,NA,NA
"84","Niger",1960,449526872.562553,7.53,-3653,NA,NA,459.639,504.472,NA,NA,NA
"85","Nigeria",1960,4196092258.15484,6.364,12174,NA,NA,446.812,489.09,NA,NA,NA
"86","Nicaragua",1960,223854666.666667,7.159,-2417,NA,NA,387.319,441.389,NA,NA,NA
"87","Netherlands",1960,12276734172.0828,3.12,-1845,NA,NA,89.322,143.771,NA,NA,NA
"88","Norway",1960,5163271598.15702,2.85,-1990,NA,NA,81.753,142.456,1412,NA,NA
"89","Nepal",1960,508334413.965087,6.03,-13235,NA,NA,429.771,465.632,NA,NA,NA
"90","New Zealand",1960,5485854791.97096,4.238,4371,NA,NA,114.7,182.74,865,NA,NA
"91","OECD members",1960,1081090478635.08,3.28571498024799,375320,NA,NA,139.19590331224,226.423006518752,NA,NA,NA
"92","Pakistan",1960,3749265014.69971,6.8,0,NA,NA,421.543,356.555,NA,394792104.157917,NA
"93","Panama",1960,537147100,5.844,-2409,NA,NA,233.174,246.862,NA,68950600,NA
"94","Peru",1960,2571908062.08791,6.941,-2026,NA,NA,253.04,277.255,NA,723808395.714286,NA
"95","Philippines",1960,7515886650.62035,7.148,-155327,NA,NA,247.292,299.232,NA,NA,NA
"96","Papua New Guinea",1960,230496032.981216,6.018,-2033,NA,NA,381.749,491.856,NA,30912004.4231369,NA
"97","Pre-demographic dividend",1960,20921863823.748,6.5636448376619,-85893,NA,NA,418.61574881885,481.151091400132,NA,NA,NA
"98","Puerto Rico",1960,1691900000,4.796,-28261,NA,NA,140.435,226.84,NA,3.55e+08,NA
"99","Portugal",1960,3193200404.37297,3.16,-99337,NA,NA,121.489,210.412,3398,NA,NA
"100","Post-demographic dividend",1960,1047798063371.98,2.89812097359567,553457,NA,NA,128.913158609119,215.645178151429,NA,NA,NA
"101","Rwanda",1960,119000024,8.187,-13204,NA,NA,359.462,360.005,NA,NA,NA
"102","South Asia",1960,47156711563.3523,6.07835003512491,44061,NA,NA,391.482526418635,389.353559719549,NA,6556022066.50558,NA
"103","Sudan",1960,1307333333.33333,6.647,2191,NA,NA,400.808,433.593,NA,NA,NA
"104","Senegal",1960,1003692374.56213,6.996,9338,NA,NA,410.507,429.807,NA,NA,NA
"105","Singapore",1960,704756304.717104,5.76,1688,NA,NA,191.436,272.01,NA,66934535.4762838,NA
"106","Sierra Leone",1960,322009471.56704,6.175,-3528,NA,NA,402.02,469.815,NA,NA,NA
