"","Country","Year","gdp","fertilityrate","netmigration","unemployment","primaryeducation","mortalityratefemale","mortalityratemale","labourforce","grossfixedcapital","secondaryeducation"
"572","Dominican Republic",1964,1025599900,7.186,-9418,NA,NA,254.448,337.778,NA,171300000,NA
"573","Algeria",1964,2909292864.23204,7.673,-94017,NA,NA,421.449,464.704,NA,NA,NA
"574","East Asia & Pacific (excluding high income)",1964,81762809534.7288,6.44517053609959,-363949,NA,NA,302.311073324451,393.033643021017,NA,14784455422.918,NA
"575","Early-demographic dividend",1964,199308121633.356,6.18576331523188,-307698,NA,NA,338.758516879427,368.138035764179,NA,NA,NA
"576","East Asia & Pacific",1964,202713926530.742,5.87443556703454,-270963,NA,NA,278.482848624872,369.273636947758,NA,67780823656.4319,NA
"577","Ecuador",1964,2244146867.90615,6.61,-1651,NA,NA,257.182,309.871,NA,241254919.597913,NA
"578","Euro area",1964,373024154759.547,2.73573666218147,95301,NA,NA,105.26101768926,192.427041948611,NA,NA,NA
"579","Spain",1964,21343844643.7341,3.01,-33780,NA,NA,104.08,170.817,11985,NA,NA
"580","Finland",1964,7766655085.78588,2.59,-20338,NA,NA,111.877,258.377,2175,NA,NA
"581","Fiji",1964,140032741.468329,5.824,-618,NA,NA,257.179,335.187,NA,NA,NA
"582","France",1964,94007851047.3678,2.87,203089,NA,NA,107.276,212.061,19616,23930116673.2265,NA
"583","Gabon",1964,215679855.271673,4.713,0,NA,NA,327.502,387.258,NA,NA,NA
"584","United Kingdom",1964,94407558351.1616,2.93,-21275,NA,NA,107.739,184.218,24871,NA,NA
"585","Ghana",1964,1731092436.97479,6.931,-43475,NA,NA,324.951,406.197,NA,NA,NA
"586","Equatorial Guinea",1964,12712471.3960211,5.711,747,NA,NA,384.201,438.768,NA,NA,NA
"587","Greece",1964,6669673257.1183,2.24,-88095,NA,NA,110.384,169.775,NA,1542024307.16526,NA
"588","Guatemala",1964,1299099900,6.847,-903,NA,NA,356.591,384.567,NA,159300000,NA
"589","Guyana",1964,194773376.888526,6.05,-4288,NA,NA,287.024,373.37,NA,30799743.3354722,NA
"590","High income",1964,1436851655161,2.92415916588807,770559,NA,NA,123.329553990426,211.601823826325,NA,NA,NA
"591","Hong Kong SAR, China",1964,2206466461.26434,5.012,4525,NA,NA,137.607,252.487,NA,783436653.179405,NA
"592","Honduras",1964,4.57e+08,7.443,-6618,NA,NA,296.608,372.211,NA,61300000,NA
"593","Heavily indebted poor countries (HIPC)",1964,20869405564.5548,6.77909476395814,-49265,NA,NA,390.698158463593,456.167175906027,NA,NA,NA
"594","Haiti",1964,325281200,6.175,-17193,NA,NA,321.238,396.601,NA,NA,NA
"595","IBRD only",1964,389537681865.311,5.69435634373296,-689681,NA,NA,282.262245462465,359.312813229427,NA,73625911479.6678,NA
"596","IDA & IBRD total",1964,436165564403.19,5.86689778506271,-776278,NA,NA,297.437524056689,367.873420638443,NA,100849417294.329,NA
"597","IDA total",1964,46056153250.8247,6.70402783763855,-86597,NA,NA,374.623808249974,410.67395434119,NA,NA,NA
"598","IDA blend",1964,15945493755.7865,6.65686587580037,-72617,NA,NA,376.289814059996,390.665100031848,NA,NA,NA
"599","IDA only",1964,30961142418.1129,6.72507360976306,-13980,NA,NA,373.883738479437,420.145040556155,NA,NA,NA
"600","India",1964,56480289940.9899,5.979,5837,NA,NA,390.91,391.103,NA,9198542725.89093,NA
"601","Ireland",1964,2766608945.87402,4.07,-15345,NA,NA,125.771,182.654,1116,NA,NA
"602","Iran, Islamic Rep.",1964,5379845647.70139,7.131,89360,NA,NA,371.91,366.413,NA,1462215024.12643,NA
"603","Iraq",1964,2340521142.5371,6.928,3224,NA,NA,212.317,347.977,NA,NA,NA
"604","Iceland",1964,434267936.914583,3.88,-179,NA,NA,92.662,170.93,72.6,NA,NA
"605","Israel",1964,3405333333.33333,3.826,56462,NA,NA,NA,NA,NA,NA,NA
"606","Italy",1964,63175417019.0094,2.66,-28503,NA,NA,102.391,186.208,20808,NA,NA
"607","Jamaica",1964,897931401.371973,5.684,-29071,NA,NA,177.459,213.436,NA,NA,NA
"608","Japan",1964,81749006381.5111,2.05,29206,1.10000002384186,NA,123.779,193.235,47095,NA,NA
"609","Kenya",1964,998759333.643326,7.92,4784,NA,NA,315.492,372.757,NA,124039964.278084,NA
"610","Cambodia",1964,782857128.571429,5.862,-3942,NA,NA,395.153,482.49,NA,NA,NA
"611","St. Kitts and Nevis",1964,13416554.8620428,NA,-2655,NA,NA,NA,NA,NA,NA,NA
"612","Korea, Rep.",1964,3459032883.02465,5.188,-103826,NA,NA,267.45,400.609,NA,400288244.946478,NA
"613","Latin America & Caribbean (excluding high income)",1964,89861395780.7567,5.87232145997351,-250223,NA,NA,241.738048384433,312.935707842838,NA,NA,NA
"614","Latin America & Caribbean",1964,110927397945.134,5.76359580068333,-320507,NA,NA,236.994599712049,310.407773575389,NA,NA,NA
"615","Sri Lanka",1964,1309747899.15966,5.135,-8695,NA,NA,200.868,268.278,NA,186513235.815126,NA
"616","Lower middle income",1964,122476610538.139,6.01850346135981,-339689,NA,NA,342.233154590076,373.54791581489,NA,NA,NA
"617","Low & middle income",1964,407189595995.312,5.9414848272832,-768387,NA,NA,302.454407338877,372.090701750755,NA,96073714779.1455,NA
"618","Lesotho",1964,51938961.2207756,5.768,3367,NA,NA,275.373,455.639,NA,NA,NA
"619","Late-demographic dividend",1964,217791767097.749,5.61344347536848,-447596,NA,NA,254.543324998475,359.09990130337,NA,41799138078.4335,NA
"620","Luxembourg",1964,903158753.943622,2.34,2092,NA,NA,117.368,236.788,NA,NA,NA
"621","Morocco",1964,2798339768.79755,6.969,-47413,NA,NA,398.118,447.347,NA,296850449.56032,NA
"622","Madagascar",1964,802482182.93232,7.307,-218,NA,NA,416.784,453.245,NA,NA,NA
"623","Mexico",1964,2.008e+10,6.833,-72587,NA,NA,241.825,320.898,NA,3403592000,NA
"624","Middle income",1964,391811002011.803,5.89835138446941,-717997,NA,NA,296.835109732168,366.512024841971,NA,95060024830.2959,NA
"625","Myanmar",1964,475197381.868256,5.991,15600,NA,NA,364.211,436.741,NA,NA,NA
"626","Mauritania",1964,224495789.256207,6.527,-397,NA,NA,363.259,396.705,NA,49994298.6819904,NA
"627","Malawi",1964,194736105.277894,7.095,0,NA,NA,394.099,458.087,NA,NA,NA
"628","Malaysia",1964,2674441395.53116,6.016,-10677,NA,NA,272.164,323.058,NA,501764014.112113,NA
"629","North America",1964,735285089547.337,3.21459266697398,560432,NA,NA,126.908764809186,228.552526456056,NA,NA,NA
"630","Niger",1964,582816358.347155,7.48,-2301,NA,NA,449.217,499.296,NA,NA,NA
"631","Nigeria",1964,5552822483.55033,6.362,21439,NA,NA,437.816,481.721,NA,NA,NA
"632","Nicaragua",1964,341973758.857143,7.069,-3042,NA,NA,345.475,403.713,NA,NA,NA
"633","Netherlands",1964,18699380731.3465,3.17,5663,NA,NA,84.614,151.162,NA,NA,NA
"634","Norway",1964,7159202706.48027,2.98,-1909,NA,NA,77.566,148.384,1444,NA,NA
"635","Nepal",1964,496098775.308642,6.065,-6094,NA,NA,423.353,455.547,NA,NA,NA
"636","New Zealand",1964,7274144350.81809,3.733,9679,NA,NA,116.144,188.591,947,NA,NA
"637","OECD members",1964,1445605668506.46,3.21992403518836,544453,NA,NA,130.308512210174,219.20936557174,NA,NA,NA
"638","Pakistan",1964,5204955900.88198,6.8,-126712,NA,NA,369.635,321.594,NA,1061528769.42461,NA
"639","Panama",1964,776137500,5.808,-2418,NA,NA,196.997,232.687,NA,98597100,NA
"640","Peru",1964,4356913870.14925,6.81,-4922,NA,NA,237.907,258.225,NA,1195912345.48507,NA
"641","Philippines",1964,5953766853.70844,6.867,-241630,NA,NA,233.735,284.949,NA,NA,NA
"642","Papua New Guinea",1964,305312043.68649,6.191,-17726,NA,NA,357.051,467.538,NA,52080007.4520241,NA
"643","Pre-demographic dividend",1964,25643719666.0555,6.71640492865523,-2472,NA,NA,403.306344568484,466.277564070028,NA,NA,NA
"644","Puerto Rico",1964,2570500000,4.108,-22835,NA,NA,129.016,224.108,NA,5.84e+08,NA
"645","Portugal",1964,4235608177.67102,3.21,-116960,NA,NA,118.688,216.386,NA,NA,NA
"646","Post-demographic dividend",1964,1405788650271.67,2.81296077900605,714628,NA,NA,120.323874519464,209.082340017431,NA,NA,NA
"647","Rwanda",1964,129999994,8.198,-19490,NA,NA,352.146,354.103,NA,NA,NA
"648","South Asia",1964,69158979751.0074,6.12620324657638,-101193,NA,NA,383.261291899314,377.850614610906,NA,11489300273.9208,NA
"649","Sudan",1964,1611333333.33333,6.803,4499,NA,NA,335.535,409.834,NA,NA,NA
"650","Senegal",1964,1188930567.7084,7.157,11888,NA,NA,405.688,430.095,NA,NA,NA
"651","Singapore",1964,894159153.273226,4.97,-2188,NA,NA,160.695,247.104,NA,178720763.099438,NA
"652","Sierra Leone",1964,371848114.747956,6.294,-2308,NA,NA,385.562,459.648,NA,NA,NA
"653","Somalia",1964,229529912.668035,7.261,1518,NA,NA,378.299,433.841,NA,NA,NA
"654","Sub-Saharan Africa (excluding high income)",1964,39362813874.0351,6.67633567758622,-8153,NA,NA,388.715719877336,454.291003527333,NA,NA,NA
"655","Sub-Saharan Africa",1964,39377044362.8687,6.67633567758622,-8082,NA,NA,388.703679087236,454.301507865957,NA,NA,NA
"656","Suriname",1964,134400000,6.412,1181,NA,NA,263.044,339.907,NA,NA,NA
"657","Sweden",1964,22532416750.0125,2.47,18697,NA,NA,88.741,141.865,3718,7116507966.08351,NA
"658","Eswatini",1964,64979280.4143917,6.819,-2049,NA,NA,387.403,446.25,NA,NA,NA
"659","Seychelles",1964,15393032.3541529,NA,71,NA,NA,323.336,511.05,NA,NA,NA
"660","Syrian Arab Republic",1964,1339494267.01571,7.469,-8365,NA,NA,260.818,296.134,NA,NA,NA
"661","Chad",1964,392247517.600415,6.318,-2521,NA,NA,414.536,477.38,NA,NA,NA
"662","East Asia & Pacific (IDA & IBRD countries)",1964,81640216211.1387,6.49792312777228,-363647,NA,NA,302.608910466281,393.621869620172,NA,14765827506.928,NA
"663","Togo",1964,166104067.630043,6.873,-6214,NA,NA,366.077,418.593,NA,NA,NA
"664","Thailand",1964,3889129942.30769,6.248,14184,NA,NA,331.485,430.338,NA,698028846.153846,NA
"665","Latin America & the Caribbean (IDA & IBRD countries)",1964,103890605551.446,5.82872143699282,-252140,NA,NA,241.500421198889,316.218728898022,NA,NA,NA
"666","South Asia (IDA & IBRD)",1964,69158979751.0073,6.12620324657638,-101193,NA,NA,383.261291899314,377.850614610906,NA,11489300273.9208,NA
"667","Sub-Saharan Africa (IDA & IBRD countries)",1964,39377044362.8687,6.67633567758622,-8082,NA,NA,388.703679087236,454.301507865957,NA,NA,NA
"668","Trinidad and Tobago",1964,711893367.55527,4.851,-8341,NA,NA,226.7,290.889,NA,NA,NA
"669","Turkiye",1964,11177777777.7778,6.134,-36257,NA,NA,165.329,284.137,NA,NA,NA
"670","Uganda",1964,589056603.773585,7.053,-3172,NA,NA,319.296,410.115,NA,65897274.6331237,NA
"671","Upper middle income",1964,269646464573.407,5.78713882450433,-378308,NA,NA,256.356144156195,360.072316130109,NA,54485021095.3491,NA
"672","Uruguay",1964,1975701816.46615,2.863,-2620,NA,NA,129.546,224.867,NA,0,NA
"673","United States",1964,6.858e+11,3.19,501115,5.19999980926514,NA,129.095,232.277,73090.16,NA,NA
"674","St. Vincent and the Grenadines",1964,14758210.3482471,6.928,-1518,NA,NA,194.425,263.423,NA,NA,NA
"675","Venezuela, RB",1964,8099318181.81818,6.071,2410,NA,NA,233.001,312.633,NA,1694840909.09091,NA
"676","World",1964,1830292049379.14,5.14915106142192,0,NA,NA,256.348344265227,332.028529051965,NA,NA,NA
"677","South Africa",1964,11955995222.6234,6.03,74419,NA,NA,302.314,402.009,NA,2360399056.83175,NA
"678","Zambia",1964,839428571.428571,7.274,-5214,NA,NA,316.594,365.062,NA,NA,NA
"679","Zimbabwe",1964,1217138000,7.261,-10064,NA,NA,289.764,358.796,NA,138023200,NA
"680","Africa Eastern and Southern",1965,29682486700.3738,6.80032228007056,11041,NA,NA,367.763972383567,447.694154296284,NA,NA,NA
"681","Afghanistan",1965,1006666637.77778,7.305,10695,NA,NA,520.698,571.526,NA,NA,NA
"682","Africa Western and Central",1965,14862225759.9135,6.54110170802647,-15985,NA,NA,415.872966770275,463.386158836018,NA,NA,NA
"683","Argentina",1965,28344705966.6389,3.062,33973,NA,NA,153.427,267.262,NA,5448823347.47535,NA
"684","Australia",1965,25974913204.1662,2.977,118655,NA,NA,118.808,207.713,4814.342,8078172247.73211,NA
"685","Austria",1965,9994070615.85997,2.7,10295,NA,NA,109.516,202.51,3180,NA,NA
"686","Burundi",1965,158994962.962963,7.113,-13952,NA,NA,390.736,484.861,NA,8808296.2962963,NA
"687","Belgium",1965,17371457607.9374,2.61,17110,NA,NA,108.532,204.262,3684,NA,NA
"688","Benin",1965,289908720.648622,6.606,-4800,NA,NA,416.75,445.632,NA,NA,NA
"689","Burkina Faso",1965,422916848.424208,6.471,-25486,NA,NA,399.785,459.828,NA,NA,NA
"690","Bangladesh",1965,5906636557.00092,6.83,47618,NA,NA,348.5,294.793,NA,NA,NA
"691","Bahamas, The",1965,300392156.862745,4.542,2493,NA,NA,222.389,334.201,NA,NA,NA
"692","Belize",1965,40069930.0699301,6.4,40,NA,NA,206.457,257.076,NA,NA,NA
"693","Bermuda",1965,114339048.965166,NA,405,NA,NA,NA,NA,NA,NA,NA
"694","Bolivia",1965,604377104.377104,6.208,-4444,NA,NA,310.782,396.883,NA,NA,NA
"695","Brazil",1965,22465522884.0988,5.675,10232,NA,NA,258.757,332.268,NA,NA,NA
"696","Brunei Darussalam",1965,114040245.655299,6.297,1656,NA,NA,283.412,275.393,NA,NA,NA
"697","Botswana",1965,45790869.7473126,6.687,-14195,NA,NA,310.81,423.886,NA,10679882.7306994,NA
"698","Central African Republic",1965,150574816.300764,5.941,485,NA,NA,428.097,488.251,NA,NA,NA
"699","Canada",1965,54515179580.7148,3.115,103588,NA,NA,105.284,192.02,7141.417,13237685299.9929,NA
"700","Switzerland",1965,15346741669.7575,2.59,-1040,NA,NA,91.239,167.99,NA,NA,NA
"701","Chile",1965,6026593750,4.364,-34847,NA,NA,203.231,302.505,NA,917937113.90625,NA
"702","China",1965,70436266146.7219,6.605,-128537,NA,NA,294.639,388.835,NA,14539719973.1903,NA
"703","Cote d'Ivoire",1965,919771356.426097,7.841,40132,NA,NA,409.493,435.187,NA,195869679.740832,NA
"704","Cameroon",1965,814083378.458171,5.949,-51,NA,NA,369.55,412.729,NA,NA,NA
"705","Congo, Dem. Rep.",1965,4043901818.18182,6.211,61401,NA,NA,413.549,496.19,NA,NA,NA
"706","Congo, Rep.",1965,198318063.860835,6.229,0,NA,NA,312.044,434.602,NA,NA,NA
"707","Colombia",1965,5760761904.7619,6.333,-53597,NA,NA,222.89,269.212,NA,768380952.380952,NA
"708","Costa Rica",1965,592981162.264151,5.96,1570,NA,NA,175.643,232.069,NA,110128301.886792,NA
"709","Caribbean small states",1965,2660946063.37403,5.45822865743268,-51752,NA,NA,206.408997588207,269.664906812339,NA,NA,NA
"710","Dominican Republic",1965,888100000,7.053,-9943,NA,NA,257.982,437.769,NA,89100000,NA
"711","Algeria",1965,3136258896.9233,7.679,-122843,NA,NA,423.421,466.74,NA,NA,NA
"712","East Asia & Pacific (excluding high income)",1965,95180592498.5016,6.3865815571704,-435078,NA,NA,300.627757616438,404.897286984937,NA,17624812024.1725,NA
"713","Early-demographic dividend",1965,215883601437.85,6.15576876327539,-437879,NA,NA,347.358603628302,390.219679928403,NA,NA,NA
"714","East Asia & Pacific",1965,225620618889.15,5.82678884492932,-293860,NA,NA,276.36713773306,378.68592924207,NA,79201940637.6132,NA
"715","Ecuador",1965,2387048255.45173,6.564,-1456,NA,NA,255.266,307.462,NA,254542017.261394,NA
"716","Egypt, Arab Rep.",1965,4948667540.41066,6.518,-4593,NA,NA,189.494,316.36,NA,782874617.737003,NA
"717","Euro area",1965,407740569138.291,2.68267996068422,95590,NA,NA,104.190143382234,193.506130439302,NA,NA,NA
"718","Spain",1965,24756958694.9238,2.94,-36245,NA,NA,100.454,167.692,12091,NA,NA
"719","Finland",1965,8589340019.02985,2.48,-21466,NA,NA,109.036,265.116,2174,NA,NA
"720","Fiji",1965,147084750.031482,5.64,-809,NA,NA,250.383,326.885,NA,NA,NA
"721","France",1965,101537248148.427,2.84,202497,NA,NA,108.863,217.864,19818,26227333470.0734,NA
"722","Gabon",1965,226474285.58499,4.785,0,NA,NA,322.536,377.652,NA,NA,NA
"723","United Kingdom",1965,101824755078.991,2.86,-24045,NA,NA,108.28,183.972,25075,NA,NA
"724","Ghana",1965,2053221288.51541,6.89,-38520,NA,NA,325.691,404.116,NA,NA,NA
"725","Equatorial Guinea",1965,64748333.3333333,5.734,850,NA,NA,380.027,435.66,NA,NA,NA
"726","Greece",1965,7689154053.35866,2.25,-87226,NA,NA,101.106,160.052,NA,1846713857.91837,NA
"727","Guatemala",1965,1331399900,6.823,-1131,NA,NA,353.649,394.395,NA,174900000,NA
"728","Guyana",1965,213235294.117647,5.957,-5611,NA,NA,284.107,369.614,NA,41176470.5882353,NA
"729","High income",1965,1560359525068.65,2.82746152888452,840932,NA,NA,122.105462189862,211.06095963567,NA,NA,NA
"730","Hong Kong SAR, China",1965,2435078534.03141,4.92,3559,NA,NA,132.229,236.62,NA,831762652.705061,NA
"731","Honduras",1965,508650000,7.442,-7160,NA,NA,294.06,364.229,NA,66150000,NA
"732","Heavily indebted poor countries (HIPC)",1965,24373992148.7367,6.79362333495681,-37476,NA,NA,390.282357773187,456.315692126317,NA,NA,NA
"733","Haiti",1965,353251800,6.123,-17423,NA,NA,319.342,394.025,NA,NA,NA
"734","IBRD only",1965,427552278721.554,5.64547168085877,-803226,NA,NA,283.166238800444,368.165233540161,NA,84976641172.2134,NA
"735","IDA & IBRD total",1965,480205940866.646,5.82792370529903,-832985,NA,NA,298.127512734012,375.028442434489,NA,116521204163.555,NA
"736","IDA total",1965,51768862667.515,6.7117314001135,-29759,NA,NA,374.084399252209,409.341296872646,NA,NA,NA
"737","IDA blend",1965,17314118925.1572,6.66909866139969,-57101,NA,NA,367.815388187191,382.841652768481,NA,NA,NA
"738","IDA only",1965,35494023084.5543,6.73072844567666,27342,NA,NA,376.863896674719,421.850152994189,NA,NA,NA
"739","India",1965,59554854575.8085,5.941,19077,NA,NA,399.413,403.239,NA,10195861139.1327,NA
"740","Ireland",1965,2945704142.99765,4.04,-13782,NA,NA,120.207,177.867,1112,NA,NA
"741","Iran, Islamic Rep.",1965,6197319929.04038,7.106,95420,NA,NA,367.684,362.791,NA,1938737529.58124,NA
"742","Iceland",1965,523694949.370689,3.73,-273,NA,NA,99.604,180.68,75.8,NA,NA
"743","Israel",1965,3663333333.33333,3.814,58426,NA,NA,NA,NA,NA,NA,NA
"744","Italy",1965,67978153850.5191,2.6,-37417,NA,NA,102.239,186.141,20542,NA,NA
"745","Jamaica",1965,972140557.188856,5.747,-29615,NA,NA,172.983,212.146,NA,232115357.692846,NA
"746","Jordan",1965,599831979.837581,8.078,29737,NA,NA,276.396,309.697,NA,NA,NA
"747","Japan",1965,90950278257.7778,2.139,49763,1.20000004768372,NA,120.79,189.995,47869.17,NA,NA
"748","Kenya",1965,997919319.980049,8.028,8524,NA,NA,313.116,371.92,NA,127959962.706737,NA
"749","Cambodia",1965,868571428.571429,5.823,-7396,NA,NA,392.524,477.379,NA,NA,NA
"750","St. Kitts and Nevis",1965,13593932.3220537,NA,-2656,NA,NA,NA,NA,NA,NA,NA
"751","Korea, Rep.",1965,3120870870.87087,4.995,-111260,NA,NA,253.175,389.568,NA,475975975.975976,NA
"752","Kuwait",1965,2097451694.2033,7.325,30575,NA,NA,174.296,228.639,NA,266031923.83086,NA
"753","Latin America & Caribbean (excluding high income)",1965,97441124532.534,5.79389378616003,-238741,NA,NA,238.065705533449,311.227151139295,NA,NA,NA
"754","Latin America & Caribbean",1965,119245878183.291,5.68548399470443,-314347,NA,NA,233.09364860102,307.958733537838,NA,NA,NA
"755","Sri Lanka",1965,1698319327.73109,5.004,-8295,NA,NA,193.028,266.497,NA,219117647.058824,NA
"756","Lower middle income",1965,132042694955.515,5.99611255651427,-460067,NA,NA,351.1165477851,396.323051881576,NA,NA,NA
"757","Low & middle income",1965,450267915213.195,5.90272227179104,-835198,NA,NA,303.131191148414,379.436253868637,NA,111718669361.497,NA
"758","Lesotho",1965,54878902.4219516,5.782,4055,NA,NA,276.162,461.091,NA,NA,NA
"759","Late-demographic dividend",1965,244741161057.033,5.54829052371868,-337765,NA,NA,247.973850300956,353.303714982187,NA,48164044470.0598,NA
"760","Luxembourg",1965,921600736.304026,2.42,2182,NA,NA,112.548,228.225,NA,NA,NA
"761","Morocco",1965,2948325264.30195,6.93,-34401,NA,NA,391.271,440.585,NA,313012548.167177,NA
"762","Madagascar",1965,833563472.170794,7.308,-560,NA,NA,412.359,449.197,NA,NA,NA
"763","Mexico",1965,2.184e+10,6.819,-72486,NA,NA,237.688,316.346,NA,3797488000,NA
"764","Middle income",1965,432030295210.445,5.8552821567713,-795102,NA,NA,297.485087112247,374.172210870175,NA,110478603286.312,NA
"765","Myanmar",1965,402619413.648984,5.994,18850,NA,NA,351.936,430.288,NA,NA,NA
"766","Middle East & North Africa (excluding high income)",1965,23810560602.2783,7.03427118916446,-163135,NA,NA,297.960120009614,369.278785115999,NA,NA,NA
"767","Mauritania",1965,255340526.737952,6.589,-438,NA,NA,356.969,392.287,NA,49174724.7837245,NA
"768","Malawi",1965,229455410.891782,7.108,0,NA,NA,399.806,456.145,NA,NA,NA
"769","Malaysia",1965,2956356984.18921,5.829,-13158,NA,NA,258.102,310.75,NA,543577681.954789,NA
"770","North America",1965,798329518629.68,2.93187050094502,601358,NA,NA,126.533420400486,229.234771291732,NA,NA,NA
"771","New Caledonia",1965,159594492.305421,5.6,291,NA,NA,258.978,364.297,NA,NA,NA
"772","Niger",1965,673383604.238783,7.466,-2301,NA,NA,448.903,498.791,NA,NA,NA
"773","Nigeria",1965,5874422511.54977,6.367,28207,NA,NA,436.12,475.026,NA,NA,NA
"774","Nicaragua",1965,566542872.357143,7.034,-3226,NA,NA,325.864,390.304,NA,NA,NA
"775","Netherlands",1965,21000586933.2041,3.04,8091,NA,NA,84.551,154.723,NA,NA,NA
"776","Norway",1965,8058681060.159,2.94,-1976,NA,NA,76.924,154.843,1448,NA,NA
"777","Nepal",1965,735267082.294264,6.029,-1559,NA,NA,421.457,452.253,NA,NA,NA
"778","New Zealand",1965,5654463586.00366,3.54,9382,NA,NA,118.208,193.731,980,NA,NA
"779","OECD members",1965,1568995576467.33,3.12811464017343,568003,NA,NA,128.971833319601,218.549084270108,NA,NA,NA
"780","Oman",1965,63287594.5113414,7.271,-2997,NA,NA,303.142,415.117,NA,NA,NA
"781","Pakistan",1965,5929231415.37169,6.8,-124241,NA,NA,350.468,311.291,NA,1273414531.70937,NA
"782","Panama",1965,852485300,5.728,-2454,NA,NA,194.942,231.822,NA,112409700,NA
"783","Peru",1965,5166861068.28358,6.75,-2311,NA,NA,234.041,256.047,NA,1492890011.3806,NA
"784","Philippines",1965,6517304758.00675,6.781,-242177,NA,NA,229.554,281.017,NA,NA,NA
"785","Papua New Guinea",1965,344159480.344943,6.203,-18532,NA,NA,350.826,461.496,NA,65404860.5666928,NA
"786","Pre-demographic dividend",1965,28902728284.9937,6.74210149359613,-12021,NA,NA,402.944190703711,466.593882020438,NA,NA,NA
"787","Puerto Rico",1965,2881500000,4.044,-24941,NA,NA,126.026,222.693,NA,7.2e+08,NA
"788","Portugal",1965,4687464054.83455,3.15,-123211,NA,NA,114.653,213.57,NA,NA,NA
"789","Paraguay",1965,443587301.587302,6.356,-13720,NA,NA,213.722,284.322,NA,63396825.3968254,NA
"790","Post-demographic dividend",1965,1527357178676.55,2.71906116278352,741289,NA,NA,119.361021591534,209.267480261818,NA,NA,NA
"791","French Polynesia",1965,176534588.228022,5.877,369,NA,NA,229.168,276.163,NA,NA,NA
"792","Rwanda",1965,148799980,8.198,-9788,NA,NA,353.157,350.871,NA,14600002,NA
"793","South Asia",1965,74274480736.2937,6.09288354065266,-53006,NA,NA,390.039009008986,386.794051214226,NA,12855058758.9517,NA
"794","Sudan",1965,1679333333.33333,6.849,6367,NA,NA,380.797,465.554,NA,NA,NA
"795","Senegal",1965,1210058396.05584,7.19,13910,NA,NA,408.234,428.734,NA,68992354.8677084,NA
"796","Singapore",1965,974650463.870378,4.66,422,NA,NA,154.633,241.787,NA,204168300.013067,NA
"797","Sierra Leone",1965,359379856.248057,6.311,-1851,NA,NA,381.512,456.012,NA,NA,NA
"798","El Salvador",1965,877720000,6.647,-11220,NA,NA,294.644,372.436,NA,128880000,NA
"799","Somalia",1965,243724533.172801,7.261,2142,NA,NA,375.749,431.134,NA,NA,NA
"800","Sub-Saharan Africa (excluding high income)",1965,43812480677.7937,6.69041045249897,-5000,NA,NA,388.331019033677,454.462511305744,NA,NA,NA
"801","Sub-Saharan Africa",1965,43826599828.1312,6.69041045249897,-4944,NA,NA,388.315683198817,454.469098081151,NA,NA,NA
"802","Suriname",1965,154150000,6.304,1455,NA,NA,261.659,351.524,NA,NA,NA
"803","Sweden",1965,24795499685.775,2.39,19129,NA,NA,87.779,139.014,3742,7866671035.43049,NA
"804","Eswatini",1965,70278594.4281114,6.821,-1582,NA,NA,376.825,439.736,NA,NA,NA
"805","Seychelles",1965,15603032.7955465,NA,56,NA,NA,303.94,490.212,NA,NA,NA
"806","Syrian Arab Republic",1965,1329842434.55497,7.514,-9099,NA,NA,256.554,290.916,NA,137433769.633508,NA
"807","Chad",1965,416926302.959596,6.337,-4383,NA,NA,420.843,487.703,NA,NA,NA
"808","East Asia & Pacific (IDA & IBRD countries)",1965,95037880851.9465,6.43795040414759,-434767,NA,NA,301.015417261598,405.717695193769,NA,17602605354.5094,NA
"809","Togo",1965,187300336.365369,6.902,6104,NA,NA,365.614,415.232,NA,NA,NA
"810","Thailand",1965,4388937649.03846,6.192,20022,NA,NA,321.803,419.447,NA,768557692.307692,NA
"811","Latin America & the Caribbean (IDA & IBRD countries)",1965,111547757737.327,5.74940458697736,-242521,NA,NA,237.541807658258,313.701688736118,NA,NA,NA
"812","Middle East & North Africa (IDA & IBRD countries)",1965,23598028787.2276,7.03427118916446,-126716,NA,NA,297.960120009615,369.278785115999,NA,NA,NA
"813","South Asia (IDA & IBRD)",1965,74274480736.2936,6.09288354065266,-53006,NA,NA,390.039009008986,386.794051214226,NA,12855058758.9517,NA
"814","Sub-Saharan Africa (IDA & IBRD countries)",1965,43826599828.1312,6.69041045249897,-4944,NA,NA,388.315683198817,454.469098081151,NA,NA,NA
"815","Trinidad and Tobago",1965,736568861.926151,4.59,-8077,NA,NA,222.861,288.199,NA,NA,NA
"816","Tunisia",1965,991047619.047619,7.1,-54215,NA,NA,317.084,359.793,NA,2.76e+08,NA
"817","Turkiye",1965,11966666666.6667,6.033,-71560,NA,NA,164.744,282.917,NA,NA,NA
"818","Uganda",1965,884873949.579832,7.085,-3718,NA,NA,312.323,409.948,NA,109243697.478992,NA
"819","Upper middle income",1965,301236127616.879,5.72503684244503,-335035,NA,NA,249.680915745616,353.908973501599,NA,63894828345.402,NA
"820","Uruguay",1965,1890769326.14221,2.84,-3544,NA,NA,128.457,223.977,NA,0,NA
"821","United States",1965,7.437e+11,2.913,497365,4.5,NA,128.619,233.011,74454.34,NA,NA
"822","St. Vincent and the Grenadines",1965,15108207.4316047,6.823,-1515,NA,NA,184.198,250.226,NA,NA,NA
